DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 12:21:35
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
3.08	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.09	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.10	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.11	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.12	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.13	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.14	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.15	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.16	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.17	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.18	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.19	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
3.20	0.015564	0.028076	0.019531	0.025635	0.032654	0.013428	0.027466	0.009155	
3.21	0.015869	0.029297	0.019226	0.026550	0.033264	0.013733	0.027161	0.011292	
3.22	0.015259	0.027466	0.018311	0.025024	0.031128	0.017090	0.024719	0.009766	
3.23	0.018616	0.026550	0.017700	0.023804	0.035095	0.010986	0.023804	0.007629	
3.24	0.019531	0.028381	0.018311	0.021973	0.032654	0.015869	0.025330	0.011292	
3.25	0.014343	0.032349	0.021362	0.025330	0.034485	0.014954	0.022583	0.008850	
3.26	0.015869	0.025940	0.016479	0.024719	0.032959	0.016174	0.025024	0.010071	
3.27	0.015869	0.026855	0.017395	0.023193	0.032349	0.016785	0.023499	0.007935	
3.28	0.014648	0.028687	0.020142	0.024109	0.035095	0.016174	0.027466	0.012207	
3.29	0.018005	0.026245	0.013123	0.026855	0.030212	0.012512	0.025330	0.011597	
3.30	0.014038	0.027466	0.018005	0.025940	0.028992	0.016479	0.024414	0.009460	
3.31	0.015564	0.030212	0.018921	0.023499	0.032043	0.014648	0.022888	0.009766	
3.32	0.017090	0.030823	0.018616	0.024109	0.031738	0.015869	0.023804	0.009155	
3.33	0.013123	0.028687	0.021973	0.021667	0.030518	0.014343	0.023193	0.010986	
3.34	0.017700	0.025024	0.020447	0.025940	0.032349	0.017090	0.025330	0.007935	
3.35	0.016174	0.026855	0.015869	0.023499	0.035400	0.014954	0.023804	0.010376	
3.36	0.017700	0.026245	0.018311	0.025330	0.032959	0.014343	0.025024	0.011292	
3.37	0.014343	0.029297	0.017090	0.022583	0.033569	0.014038	0.023193	0.010376	
3.38	0.014648	0.027161	0.016479	0.019836	0.033875	0.013123	0.027161	0.010681	
3.39	0.014343	0.031128	0.020447	0.024109	0.028992	0.016174	0.024414	0.009766	
3.40	0.017700	0.027771	0.018005	0.023804	0.036011	0.014343	0.023804	0.009155	
3.41	0.016479	0.028687	0.017700	0.027161	0.031738	0.016785	0.024719	0.007324	
3.42	0.010986	0.028381	0.018921	0.023193	0.034180	0.017700	0.026550	0.010986	
3.43	0.014648	0.027161	0.018921	0.022583	0.034180	0.013428	0.026855	0.012817	
3.44	0.015564	0.027161	0.016785	0.022278	0.033569	0.014954	0.025635	0.010376	
3.45	0.016174	0.028381	0.016479	0.018311	0.033264	0.016785	0.024414	0.010986	
3.46	0.017395	0.029907	0.019226	0.023193	0.032349	0.014343	0.028687	0.009766	
3.47	0.016479	0.029297	0.018311	0.025940	0.032043	0.016479	0.024109	0.008545	
3.48	0.014343	0.027161	0.015564	0.028076	0.033264	0.012207	0.024109	0.010071	
3.49	0.012512	0.029297	0.016479	0.025024	0.034485	0.015259	0.024719	0.007019	
3.50	0.015259	0.029297	0.019531	0.021057	0.032959	0.016174	0.022278	0.007935	
3.51	0.014648	0.028687	0.019531	0.022583	0.035706	0.016785	0.025940	0.012512	
3.52	0.014648	0.025024	0.020447	0.023804	0.031738	0.016174	0.025940	0.009460	
3.53	0.012207	0.028687	0.018921	0.023193	0.030823	0.014343	0.027161	0.010376	
3.54	0.014648	0.030212	0.017700	0.025024	0.031433	0.011597	0.026245	0.008850	
3.55	0.013733	0.027466	0.015564	0.026245	0.031433	0.015869	0.026245	0.009766	
3.56	0.016479	0.025635	0.018616	0.021973	0.034485	0.015259	0.023193	0.011597	
3.57	0.014954	0.029297	0.019531	0.022583	0.033875	0.019226	0.027161	0.009155	
3.58	0.014343	0.030823	0.017090	0.021973	0.033569	0.014954	0.024109	0.011902	
3.59	0.015564	0.026855	0.020752	0.022583	0.034790	0.015259	0.028076	0.010376	
3.60	0.015564	0.028381	0.015869	0.024109	0.032043	0.014343	0.026245	0.011292	
3.61	0.017090	0.028992	0.016785	0.024109	0.033264	0.016174	0.026855	0.009766	
3.62	0.012207	0.027771	0.020752	0.024414	0.030823	0.016479	0.025635	0.009460	
3.63	0.014343	0.030212	0.017395	0.028076	0.030823	0.017395	0.023499	0.009766	
3.64	0.015564	0.028381	0.018616	0.023193	0.031128	0.012207	0.023499	0.008850	
3.65	0.017090	0.029602	0.014038	0.025024	0.031738	0.015564	0.023804	0.006714	
3.66	0.014648	0.028381	0.019531	0.026550	0.030518	0.017090	0.025024	0.009155	
3.67	0.018921	0.027161	0.018921	0.026245	0.032654	0.014343	0.022888	0.010071	
3.68	0.014954	0.028076	0.018921	0.026550	0.033569	0.014343	0.026550	0.008240	
3.69	0.013733	0.030518	0.017090	0.023193	0.033875	0.015259	0.024414	0.007935	
3.70	0.014954	0.026855	0.018921	0.021973	0.033264	0.017090	0.026550	0.008850	
3.71	0.013428	0.025024	0.017090	0.022278	0.031738	0.018005	0.024414	0.008850	
3.72	0.014954	0.026550	0.018921	0.028687	0.032959	0.018311	0.025940	0.010681	
3.73	0.014648	0.027771	0.017700	0.024719	0.033264	0.014648	0.027771	0.008240	
3.74	0.015564	0.028381	0.019836	0.023804	0.033569	0.015564	0.025330	0.011292	
