DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 12:20:55
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.019531	0.017090	0.031433	0.013123	0.036926	0.008850	0.028687	0.003967	
0.01	0.025330	0.016479	0.030823	0.007935	0.036011	0.012207	0.031128	0.003967	
0.02	0.023193	0.021362	0.035400	0.012512	0.039978	0.010376	0.032349	0.000610	
0.03	0.026245	0.020447	0.032043	0.013123	0.040588	0.009155	0.028076	0.005493	
0.04	0.022583	0.021057	0.032959	0.008240	0.037842	0.010376	0.030212	0.003662	
0.05	0.023499	0.021057	0.031433	0.008545	0.041504	0.012512	0.030212	0.004272	
0.06	0.021362	0.017700	0.031433	0.010376	0.038757	0.008545	0.028076	0.005188	
0.07	0.025635	0.019531	0.036316	0.012817	0.039368	0.010681	0.030823	0.000916	
0.08	0.022888	0.017700	0.030212	0.008545	0.036011	0.007629	0.031128	0.003052	
0.09	0.024414	0.018311	0.029907	0.007629	0.038147	0.009155	0.031738	0.000610	
0.10	0.021362	0.018005	0.031128	0.012512	0.036316	0.009460	0.029907	0.006714	
0.11	0.024719	0.017700	0.032043	0.011292	0.040588	0.010681	0.029297	0.005188	
0.12	0.022278	0.021973	0.032349	0.011597	0.041199	0.011597	0.029297	0.004883	
0.13	0.025330	0.021667	0.034485	0.009460	0.039368	0.008850	0.029297	0.001831	
0.14	0.023499	0.019226	0.031433	0.011902	0.038757	0.009460	0.027771	0.003052	
0.15	0.026245	0.023499	0.029297	0.009460	0.034790	0.012817	0.030518	0.002747	
0.16	0.023499	0.017395	0.031128	0.010376	0.038452	0.009155	0.029907	0.004883	
0.17	0.024109	0.020142	0.032959	0.009766	0.039673	0.010681	0.028687	0.001526	
0.18	0.018005	0.023193	0.033875	0.008545	0.040283	0.008240	0.030212	0.003967	
0.19	0.020752	0.019226	0.030823	0.009766	0.037231	0.012207	0.031738	0.006409	
0.20	0.021667	0.020752	0.031738	0.009766	0.036011	0.010376	0.032043	0.002747	
0.21	0.021973	0.016479	0.031738	0.010071	0.041809	0.009766	0.029297	0.004272	
0.22	0.022888	0.018005	0.029907	0.009460	0.038452	0.009460	0.030518	0.001526	
0.23	0.022278	0.022278	0.034180	0.010071	0.038147	0.008240	0.032349	0.006104	
0.24	0.024414	0.019226	0.032959	0.009155	0.036316	0.007019	0.028992	0.005798	
0.25	0.021362	0.017395	0.033264	0.009460	0.037842	0.010071	0.028381	0.004578	
0.26	0.021362	0.018921	0.031738	0.010071	0.043030	0.010376	0.029602	0.003357	
0.27	0.022888	0.021057	0.031128	0.010986	0.037537	0.008850	0.028992	0.000610	
0.28	0.021362	0.020142	0.031738	0.010681	0.039063	0.009766	0.031128	0.001831	
0.29	0.023193	0.018921	0.035095	0.010986	0.035706	0.008240	0.029297	0.003662	
0.30	0.027466	0.019226	0.031433	0.009766	0.036621	0.010681	0.030518	0.003967	
0.31	0.023804	0.021973	0.031433	0.007629	0.038757	0.011292	0.029907	0.000610	
0.32	0.024414	0.017395	0.033569	0.010071	0.038757	0.009155	0.032043	0.004883	
0.33	0.021362	0.019836	0.031433	0.006409	0.041809	0.009766	0.032349	0.003662	
0.34	0.026550	0.018921	0.031738	0.007935	0.034485	0.010986	0.031128	0.002136	
