DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 12:06:06
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.013123	0.019531	0.023193	0.013123	0.017090	0.015564	0.006104	0.014648	
0.01	0.011597	0.022888	0.021667	0.016785	0.015869	0.017090	0.007935	0.011597	
0.02	0.014343	0.016479	0.017395	0.016785	0.015869	0.015564	0.011597	0.014343	
0.03	0.014038	0.017395	0.019531	0.018616	0.014954	0.016785	0.009155	0.015259	
0.04	0.016174	0.020142	0.020752	0.021362	0.014648	0.015259	0.010376	0.013123	
0.05	0.011597	0.018311	0.022888	0.020752	0.015869	0.014954	0.014954	0.015259	
0.06	0.015259	0.014648	0.021057	0.016479	0.016785	0.014648	0.008850	0.015259	
0.07	0.011902	0.017395	0.018005	0.018311	0.014038	0.016785	0.012207	0.018005	
0.08	0.015564	0.021667	0.019836	0.016174	0.014954	0.014954	0.009460	0.014954	
0.09	0.014038	0.018921	0.021362	0.020142	0.015564	0.015869	0.014954	0.009766	
0.10	0.012512	0.013733	0.020752	0.018005	0.016479	0.014038	0.009155	0.013428	
0.11	0.015259	0.020447	0.019226	0.016479	0.012817	0.018311	0.009460	0.014343	
0.12	0.011597	0.019531	0.022888	0.016174	0.016479	0.016479	0.011597	0.014038	
0.13	0.014343	0.019226	0.019531	0.018921	0.013428	0.017395	0.007935	0.011597	
0.14	0.014954	0.018616	0.022583	0.016785	0.014648	0.017090	0.011902	0.012817	
0.15	0.012207	0.021057	0.022583	0.013733	0.014648	0.017700	0.011902	0.016174	
0.16	0.013123	0.017090	0.023193	0.015564	0.010986	0.019226	0.011597	0.014954	
0.17	0.011292	0.018616	0.021667	0.012512	0.014343	0.015259	0.011902	0.014648	
0.18	0.012207	0.020142	0.022888	0.014954	0.015564	0.014648	0.012817	0.012817	
0.19	0.013733	0.018921	0.022583	0.014648	0.013733	0.019226	0.010986	0.017090	
0.20	0.014038	0.019836	0.021667	0.018921	0.015869	0.014038	0.011292	0.014038	
0.21	0.012817	0.018005	0.025024	0.015869	0.017395	0.015564	0.008545	0.012817	
0.22	0.014648	0.023499	0.017090	0.016479	0.015869	0.015259	0.007019	0.015564	
0.23	0.015259	0.015564	0.018921	0.016479	0.017090	0.014954	0.010376	0.013123	
0.24	0.014648	0.022583	0.017395	0.016479	0.016479	0.015564	0.010071	0.014648	
0.25	0.014648	0.019531	0.019531	0.016174	0.015259	0.017090	0.010986	0.017090	
0.26	0.013733	0.017090	0.019531	0.016174	0.015564	0.014648	0.010986	0.013123	
0.27	0.012207	0.020447	0.021667	0.018311	0.015564	0.016479	0.008850	0.015259	
0.28	0.013428	0.017700	0.024414	0.015259	0.014038	0.016479	0.011597	0.012817	
0.29	0.010071	0.018005	0.022888	0.017700	0.014038	0.018311	0.010681	0.014954	
