DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 12:14:08
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.014343	0.025940	0.021362	0.020142	0.043335	-0.003052	0.032959	-0.005798	
0.01	0.015869	0.025024	0.019226	0.020752	0.040283	-0.005188	0.036316	-0.006104	
0.02	0.013733	0.021362	0.018616	0.018616	0.042725	-0.003357	0.036926	-0.006714	
0.03	0.016174	0.025330	0.017090	0.021362	0.043030	-0.002747	0.036621	-0.007629	
0.04	0.014038	0.027771	0.018921	0.022278	0.043945	-0.003357	0.037231	-0.007629	
0.05	0.014038	0.022888	0.023499	0.019226	0.039673	-0.003662	0.034790	-0.011597	
0.06	0.016174	0.025940	0.021973	0.021362	0.039368	-0.002136	0.035400	-0.005798	
0.07	0.015564	0.022583	0.017395	0.021362	0.043335	-0.000916	0.036621	-0.007324	
0.08	0.019531	0.020447	0.021973	0.021973	0.041809	-0.001526	0.034790	-0.007019	
0.09	0.016479	0.021362	0.020752	0.022888	0.039368	-0.001526	0.035400	-0.006714	
0.10	0.015259	0.024109	0.020447	0.022888	0.039368	-0.000305	0.032959	-0.007935	
0.11	0.015564	0.023499	0.018921	0.022583	0.043640	-0.000305	0.033569	-0.006409	
0.12	0.018005	0.021057	0.018311	0.021057	0.042725	0.000305	0.037842	-0.007019	
0.13	0.015869	0.023193	0.019836	0.022583	0.045166	-0.003967	0.035095	-0.006714	
0.14	0.017090	0.022583	0.021973	0.021667	0.044250	-0.001526	0.036621	-0.003357	
0.15	0.014038	0.025024	0.020752	0.017700	0.042725	-0.003052	0.038452	-0.003662	
0.16	0.017090	0.021362	0.021362	0.019226	0.043945	-0.000916	0.034790	-0.009460	
0.17	0.012512	0.022888	0.018616	0.025635	0.039978	-0.000305	0.034790	-0.004272	
