DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 12:28:18
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.015259	0.029602	0.021057	0.023499	0.029297	0.028992	0.020752	0.019226	
0.01	0.018616	0.030823	0.021057	0.025024	0.029907	0.028381	0.020752	0.020447	
0.02	0.018311	0.029602	0.019836	0.023193	0.028076	0.027161	0.021057	0.021057	
0.03	0.018921	0.031738	0.023499	0.025024	0.029602	0.028992	0.022278	0.018311	
0.04	0.015259	0.031433	0.021973	0.026855	0.028076	0.024719	0.022278	0.020142	
0.05	0.019226	0.030823	0.021667	0.026550	0.029297	0.028687	0.019531	0.020752	
0.06	0.018311	0.030823	0.018311	0.026245	0.028687	0.026550	0.020752	0.020447	
0.07	0.019531	0.032959	0.019531	0.026245	0.031738	0.025330	0.018921	0.019531	
0.08	0.017395	0.032959	0.019531	0.022278	0.028687	0.026855	0.019836	0.017090	
0.09	0.014954	0.031128	0.022278	0.027466	0.027466	0.026855	0.019836	0.017090	
0.10	0.018005	0.031738	0.020447	0.025024	0.030823	0.028076	0.021973	0.018311	
0.11	0.018921	0.028076	0.020447	0.024109	0.027466	0.027161	0.020142	0.021362	
0.12	0.016479	0.027466	0.021362	0.022278	0.029602	0.026855	0.016785	0.018311	
0.13	0.020752	0.034790	0.016785	0.021973	0.028992	0.026855	0.020142	0.018005	
0.14	0.017700	0.029602	0.020447	0.022583	0.027161	0.025635	0.021667	0.019226	
0.15	0.017395	0.033264	0.021667	0.022888	0.026550	0.025024	0.021973	0.021362	
0.16	0.017395	0.027466	0.019531	0.023804	0.030518	0.024109	0.018616	0.018921	
0.17	0.017700	0.029907	0.022278	0.021057	0.028992	0.027771	0.016479	0.021973	
0.18	0.019531	0.026855	0.021057	0.027771	0.024719	0.023193	0.017395	0.023193	
0.19	0.019836	0.029602	0.019531	0.023193	0.030212	0.029297	0.018921	0.018921	
0.20	0.015564	0.030823	0.019226	0.022583	0.028381	0.024414	0.019226	0.019836	
0.21	0.021667	0.031128	0.013428	0.022888	0.031128	0.024719	0.022278	0.021362	
0.22	0.014343	0.028992	0.019226	0.021667	0.031128	0.024109	0.015869	0.016785	
0.23	0.020752	0.029602	0.021973	0.021057	0.026855	0.026245	0.018616	0.022888	
0.24	0.019226	0.031128	0.018921	0.025024	0.029907	0.027771	0.018311	0.017090	
0.25	0.018005	0.029297	0.022888	0.024109	0.027466	0.023804	0.018311	0.020142	
0.26	0.017395	0.028381	0.020752	0.024719	0.028381	0.027466	0.020752	0.018921	
0.27	0.015259	0.032654	0.018616	0.027466	0.026855	0.023499	0.017090	0.019531	
0.28	0.019531	0.030518	0.021362	0.021973	0.027466	0.026245	0.017700	0.018616	
0.29	0.016174	0.032349	0.022583	0.022583	0.026550	0.026855	0.022888	0.017700	
0.30	0.018921	0.032043	0.018616	0.022583	0.028381	0.022888	0.020447	0.017090	
0.31	0.018005	0.028992	0.019531	0.021667	0.024109	0.026855	0.018005	0.019531	
0.32	0.018921	0.030212	0.018311	0.024414	0.027466	0.027466	0.020752	0.016479	
0.33	0.018005	0.031433	0.017395	0.024414	0.027771	0.025940	0.019226	0.020447	
0.34	0.017395	0.032043	0.021057	0.024414	0.028992	0.025635	0.018005	0.016479	
0.35	0.019531	0.031738	0.020142	0.022888	0.027771	0.026855	0.020752	0.019226	
0.36	0.019836	0.033264	0.018311	0.022278	0.028687	0.022278	0.021973	0.020142	
0.37	0.016785	0.030212	0.019836	0.022278	0.031128	0.026245	0.017090	0.017090	
0.38	0.017090	0.026550	0.018921	0.022888	0.028381	0.024719	0.019531	0.021973	
0.39	0.018311	0.031433	0.020142	0.024109	0.029297	0.026550	0.018311	0.016174	
0.40	0.015869	0.032959	0.019531	0.024719	0.028992	0.025635	0.018311	0.017395	
0.41	0.018005	0.030518	0.017395	0.026245	0.029297	0.026855	0.019836	0.016785	
0.42	0.014343	0.032349	0.018921	0.024719	0.028381	0.023499	0.017700	0.021057	
0.43	0.015869	0.031738	0.020142	0.018616	0.027161	0.027161	0.017700	0.019836	
0.44	0.018005	0.028381	0.019836	0.025024	0.026855	0.026550	0.018311	0.016479	
0.45	0.021057	0.028687	0.017395	0.023804	0.028076	0.023804	0.021057	0.019226	
0.46	0.014954	0.029602	0.023804	0.022583	0.025940	0.027161	0.018921	0.018311	
0.47	0.018921	0.030518	0.019836	0.025330	0.030823	0.025024	0.015869	0.018921	
0.48	0.018921	0.028076	0.021667	0.023804	0.026245	0.024109	0.021057	0.020752	
0.49	0.014954	0.027466	0.018005	0.022583	0.031128	0.024719	0.019836	0.019836	
0.50	0.021667	0.028992	0.017700	0.021973	0.026855	0.023193	0.019836	0.021057	
0.51	0.017700	0.028076	0.022583	0.021362	0.029602	0.024109	0.017395	0.017395	
0.52	0.017700	0.032959	0.020142	0.023499	0.027161	0.025024	0.017090	0.020752	
0.53	0.017395	0.028076	0.015869	0.026855	0.029602	0.027161	0.017700	0.018005	
0.54	0.018311	0.030518	0.018311	0.022583	0.029907	0.025330	0.020142	0.018921	
0.55	0.016479	0.029297	0.021057	0.025024	0.026550	0.023804	0.019836	0.017700	
0.56	0.018921	0.030823	0.021973	0.025940	0.028076	0.026550	0.019836	0.018311	
0.57	0.017395	0.028381	0.018311	0.024109	0.029602	0.026245	0.017700	0.018311	
0.58	0.013428	0.030823	0.022278	0.027161	0.027771	0.027466	0.017700	0.015259	
0.59	0.019531	0.030212	0.017090	0.022278	0.026550	0.026855	0.020142	0.015564	
0.60	0.017395	0.029907	0.018311	0.025330	0.025024	0.024414	0.020142	0.021973	
0.61	0.017700	0.031128	0.019226	0.020752	0.029297	0.026550	0.018616	0.019226	
0.62	0.015564	0.030518	0.018311	0.022583	0.028381	0.025635	0.020447	0.018311	
0.63	0.013733	0.028687	0.019836	0.028992	0.024719	0.025940	0.017395	0.018005	
0.64	0.016174	0.030212	0.018921	0.022888	0.028076	0.028687	0.019836	0.021667	
0.65	0.020142	0.029297	0.021973	0.025024	0.027466	0.024719	0.021057	0.016174	
0.66	0.013733	0.029907	0.020447	0.022583	0.031738	0.028076	0.019836	0.019226	
0.67	0.015869	0.030518	0.018921	0.022888	0.028687	0.024414	0.019531	0.018311	
0.68	0.014343	0.029907	0.021362	0.025330	0.026550	0.029297	0.018311	0.017090	
0.69	0.018616	0.032349	0.019836	0.020447	0.029907	0.025024	0.021667	0.020142	
0.70	0.015259	0.027771	0.019836	0.023193	0.027161	0.027466	0.017090	0.017395	
0.71	0.017090	0.029297	0.021973	0.022583	0.026245	0.027771	0.020752	0.019836	
0.72	0.020142	0.029297	0.018311	0.025940	0.027466	0.025330	0.019226	0.019836	
0.73	0.016479	0.029907	0.018311	0.024109	0.027161	0.025330	0.016174	0.020752	
0.74	0.017700	0.028076	0.019226	0.023193	0.028687	0.025024	0.021973	0.019531	
0.75	0.017700	0.030518	0.018311	0.025330	0.031128	0.023193	0.019226	0.018311	
0.76	0.014343	0.031738	0.018005	0.023499	0.027161	0.026855	0.018005	0.019226	
0.77	0.018005	0.031128	0.019836	0.025024	0.026855	0.025635	0.018616	0.018005	
0.78	0.018311	0.031738	0.020752	0.021362	0.026855	0.025330	0.019226	0.017700	
0.79	0.016174	0.032043	0.021057	0.025330	0.028992	0.026245	0.018616	0.020447	
0.80	0.015259	0.028381	0.018311	0.023499	0.027771	0.030518	0.018616	0.016479	
0.81	0.016479	0.030518	0.015259	0.021973	0.031738	0.026855	0.019226	0.019531	
0.82	0.017090	0.029602	0.021362	0.024414	0.027771	0.025635	0.019531	0.017395	
0.83	0.016174	0.027161	0.019531	0.024719	0.024719	0.027161	0.020752	0.020142	
0.84	0.015869	0.028381	0.019836	0.021973	0.027161	0.025330	0.018921	0.019836	
0.85	0.015869	0.028687	0.018921	0.021667	0.029297	0.028076	0.017700	0.020752	
0.86	0.018005	0.032043	0.019226	0.023193	0.030823	0.024109	0.020752	0.019531	
0.87	0.020142	0.032043	0.016479	0.027161	0.026550	0.027161	0.020142	0.019531	
0.88	0.015259	0.029602	0.020752	0.024414	0.028687	0.027161	0.017700	0.018921	
0.89	0.018311	0.028076	0.017700	0.026245	0.029602	0.022278	0.018311	0.017090	
0.90	0.018311	0.028687	0.018311	0.024109	0.026245	0.025940	0.019226	0.019226	
0.91	0.019836	0.033264	0.018005	0.020752	0.028076	0.027466	0.016479	0.019226	
0.92	0.017090	0.028992	0.021057	0.023804	0.027771	0.025330	0.021362	0.014038	
0.93	0.018005	0.033264	0.020142	0.023804	0.027466	0.024414	0.020142	0.021973	
0.94	0.018616	0.027771	0.020752	0.023804	0.028992	0.026245	0.020752	0.017395	
0.95	0.017700	0.027466	0.017700	0.022583	0.028381	0.028381	0.018921	0.018616	
0.96	0.018921	0.033569	0.018005	0.025024	0.028992	0.023499	0.018005	0.018616	
0.97	0.017395	0.030212	0.021973	0.025635	0.029602	0.027466	0.019836	0.017700	
0.98	0.017700	0.031128	0.021973	0.027771	0.028687	0.027771	0.019836	0.019531	
0.99	0.016479	0.030518	0.021362	0.025635	0.028687	0.028687	0.019836	0.019226	
1.00	0.019531	0.030823	0.021057	0.022278	0.028687	0.028687	0.018311	0.020752	
1.01	0.021667	0.025635	0.017395	0.026245	0.026245	0.028076	0.019226	0.021057	
1.02	0.018921	0.028076	0.017090	0.022278	0.031128	0.027161	0.019531	0.019531	
1.03	0.018005	0.036011	0.021057	0.025330	0.031128	0.028687	0.019836	0.020142	
1.04	0.020752	0.029907	0.024719	0.025940	0.025635	0.028076	0.019531	0.020752	
1.05	0.018616	0.031738	0.019836	0.023804	0.028076	0.028992	0.020447	0.019836	
1.06	0.017090	0.030823	0.022583	0.027466	0.030823	0.027161	0.019836	0.019226	
1.07	0.021057	0.034790	0.022583	0.023193	0.031433	0.029297	0.018311	0.018921	
1.08	0.018005	0.033264	0.024719	0.022888	0.028687	0.026855	0.021667	0.020447	
1.09	0.021362	0.032654	0.018921	0.024109	0.027466	0.025330	0.022278	0.021057	
1.10	0.018005	0.030518	0.021667	0.022888	0.028076	0.029602	0.019836	0.021057	
1.11	0.020752	0.030518	0.018311	0.023804	0.027771	0.028076	0.020142	0.018311	
1.12	0.015869	0.029297	0.018311	0.025330	0.029907	0.027771	0.020752	0.020752	
1.13	0.015259	0.028076	0.021973	0.025940	0.030518	0.027161	0.019836	0.019226	
1.14	0.017700	0.032043	0.019836	0.028076	0.026855	0.025024	0.016479	0.022278	
1.15	0.015259	0.032654	0.024414	0.021362	0.028687	0.025330	0.018921	0.020447	
1.16	0.017700	0.034485	0.022583	0.025330	0.030518	0.025330	0.018311	0.020142	
1.17	0.022888	0.030823	0.020447	0.025940	0.029602	0.027466	0.020752	0.018616	
1.18	0.020142	0.035706	0.018311	0.025024	0.028992	0.023804	0.019226	0.018921	
1.19	0.019836	0.028687	0.024109	0.026245	0.028076	0.025635	0.019226	0.018616	
1.20	0.018616	0.031738	0.020447	0.023499	0.028076	0.026245	0.021057	0.020752	
1.21	0.015259	0.030518	0.018616	0.025330	0.029907	0.028992	0.019836	0.018311	
1.22	0.017090	0.029297	0.024414	0.021667	0.028381	0.027466	0.018005	0.017395	
1.23	0.019836	0.033264	0.017700	0.027771	0.028992	0.022583	0.020752	0.021362	
1.24	0.018311	0.031128	0.023804	0.021973	0.028687	0.026855	0.019836	0.021057	
1.25	0.018921	0.029297	0.019531	0.023193	0.026855	0.029907	0.019226	0.020142	
1.26	0.017090	0.029297	0.018616	0.027771	0.029297	0.024414	0.021362	0.019836	
1.27	0.015869	0.031128	0.020142	0.023499	0.028687	0.029602	0.022583	0.020447	
1.28	0.020752	0.027771	0.019531	0.022583	0.027161	0.026855	0.021667	0.020752	
1.29	0.018616	0.031738	0.021667	0.027771	0.027771	0.023804	0.021973	0.021057	
1.30	0.015259	0.033264	0.018311	0.025940	0.029602	0.027771	0.021362	0.017395	
1.31	0.017395	0.027161	0.022583	0.025635	0.029907	0.028381	0.021057	0.017090	
1.32	0.017395	0.030212	0.015869	0.024109	0.028687	0.028687	0.020752	0.018005	
1.33	0.017090	0.030212	0.020447	0.022583	0.030518	0.024109	0.017395	0.018311	
1.34	0.018311	0.028076	0.021973	0.026245	0.026855	0.026855	0.020142	0.016479	
1.35	0.017395	0.033264	0.020447	0.025024	0.027771	0.024414	0.021362	0.019531	
1.36	0.017700	0.032043	0.020447	0.023499	0.028076	0.026855	0.017090	0.021667	
1.37	0.017395	0.031738	0.018921	0.022888	0.026550	0.030518	0.018921	0.019836	
1.38	0.017090	0.029297	0.016479	0.025635	0.029907	0.026245	0.022888	0.018616	
1.39	0.017395	0.030518	0.021667	0.025330	0.028076	0.028381	0.018005	0.019836	
1.40	0.019226	0.031738	0.019836	0.025330	0.027466	0.027771	0.019836	0.017395	
1.41	0.019226	0.029297	0.019836	0.025940	0.028992	0.021973	0.021362	0.021057	
1.42	0.014343	0.035400	0.019531	0.021973	0.028076	0.027466	0.019531	0.023193	
1.43	0.018616	0.031738	0.018005	0.024414	0.027771	0.027161	0.019226	0.018616	
1.44	0.017090	0.031128	0.017700	0.025024	0.028687	0.022583	0.019836	0.018311	
1.45	0.016785	0.031128	0.020142	0.019836	0.026855	0.029907	0.018921	0.020142	
1.46	0.018311	0.028992	0.019226	0.021667	0.024414	0.026245	0.017395	0.018921	
1.47	0.016174	0.030518	0.018005	0.024414	0.024719	0.026550	0.018921	0.018005	
1.48	0.019531	0.029907	0.019836	0.023193	0.029602	0.027466	0.021057	0.019226	
1.49	0.019531	0.028687	0.021667	0.023804	0.027161	0.027466	0.021667	0.017395	
1.50	0.018921	0.034180	0.018005	0.025635	0.028687	0.021667	0.019531	0.019531	
1.51	0.017395	0.030518	0.020447	0.023499	0.027466	0.024719	0.020142	0.019226	
1.52	0.017700	0.029907	0.021057	0.022583	0.026245	0.032043	0.017700	0.018005	
1.53	0.016174	0.030518	0.013428	0.027161	0.028992	0.025024	0.020752	0.019836	
1.54	0.017395	0.030518	0.019531	0.026245	0.026550	0.023804	0.019226	0.019226	
1.55	0.017395	0.026855	0.020752	0.023804	0.028992	0.028687	0.018921	0.020142	
1.56	0.018311	0.032654	0.014954	0.022583	0.032349	0.027161	0.021973	0.020752	
1.57	0.014038	0.030518	0.015869	0.025024	0.027771	0.029297	0.018921	0.018311	
1.58	0.017395	0.028992	0.021057	0.025330	0.030518	0.025940	0.020752	0.020447	
1.59	0.014343	0.031433	0.021362	0.023193	0.030212	0.021973	0.018921	0.017700	
1.60	0.015869	0.028992	0.020142	0.024719	0.028992	0.023499	0.018616	0.019531	
1.61	0.018921	0.030212	0.020447	0.026855	0.029297	0.024719	0.019836	0.020752	
1.62	0.016174	0.029907	0.017090	0.018311	0.027771	0.029297	0.016479	0.020752	
1.63	0.020142	0.028992	0.020142	0.023804	0.028687	0.026245	0.020447	0.020447	
1.64	0.019226	0.027466	0.022583	0.025330	0.027161	0.029907	0.019836	0.016174	
1.65	0.017090	0.034790	0.015869	0.021362	0.030212	0.025635	0.018005	0.018616	
1.66	0.015869	0.029907	0.020142	0.027161	0.026550	0.026855	0.021057	0.017090	
1.67	0.014038	0.030212	0.018311	0.021973	0.024719	0.027161	0.017395	0.020752	
1.68	0.018311	0.032654	0.017395	0.024719	0.032043	0.028381	0.020752	0.020752	
1.69	0.017090	0.029602	0.018311	0.024414	0.027161	0.029297	0.021973	0.018921	
1.70	0.016785	0.028381	0.019531	0.025024	0.031128	0.026245	0.020752	0.019836	
1.71	0.017700	0.028687	0.020752	0.023804	0.027466	0.031128	0.019531	0.018616	
1.72	0.015564	0.028076	0.019226	0.022888	0.027161	0.028992	0.019531	0.016174	
1.73	0.015259	0.032654	0.018921	0.025940	0.030518	0.026245	0.019836	0.020447	
1.74	0.016785	0.028992	0.020752	0.023499	0.029297	0.025940	0.017090	0.017395	
1.75	0.015869	0.031128	0.018005	0.023193	0.029297	0.025024	0.015869	0.014954	
1.76	0.018616	0.028381	0.020752	0.024109	0.026550	0.024414	0.018005	0.018921	
1.77	0.015259	0.029602	0.018311	0.023804	0.030212	0.026245	0.018311	0.018921	
1.78	0.019531	0.030823	0.018921	0.022888	0.025024	0.027466	0.018616	0.018311	
1.79	0.018921	0.031128	0.019226	0.021362	0.028687	0.026855	0.018616	0.018616	
1.80	0.017700	0.029602	0.019531	0.024414	0.029907	0.025635	0.018311	0.021973	
1.81	0.021973	0.028687	0.018616	0.025024	0.027466	0.029297	0.020752	0.015564	
1.82	0.015869	0.028381	0.019836	0.025635	0.029907	0.025940	0.020752	0.018005	
1.83	0.016174	0.031433	0.018311	0.023804	0.027161	0.024719	0.018616	0.018311	
1.84	0.015564	0.032349	0.019531	0.022583	0.026245	0.025330	0.019531	0.017090	
1.85	0.018616	0.031128	0.021667	0.026550	0.034180	0.026550	0.017395	0.019836	
1.86	0.015869	0.028076	0.018616	0.021362	0.029297	0.028992	0.018921	0.018311	
1.87	0.013733	0.028992	0.019836	0.022583	0.027161	0.030212	0.017700	0.017090	
1.88	0.016785	0.028381	0.018921	0.024719	0.028687	0.022583	0.019226	0.016785	
1.89	0.015869	0.030823	0.022888	0.020752	0.027161	0.024719	0.017700	0.017090	
1.90	0.016174	0.034180	0.022278	0.024109	0.026550	0.027161	0.019226	0.017700	
1.91	0.022888	0.031433	0.018616	0.021667	0.028076	0.025024	0.024414	0.018311	
1.92	0.015869	0.033264	0.020142	0.024414	0.029907	0.027161	0.017395	0.018311	
1.93	0.016785	0.030212	0.018005	0.025330	0.026245	0.030212	0.017395	0.017090	
1.94	0.020447	0.028687	0.019531	0.024414	0.028992	0.028076	0.019836	0.018311	
1.95	0.014648	0.031128	0.017395	0.026550	0.029602	0.026855	0.019531	0.019226	
1.96	0.016174	0.030212	0.016479	0.024414	0.028076	0.024719	0.018005	0.019531	
1.97	0.018311	0.031433	0.016174	0.025330	0.028381	0.026550	0.018616	0.020447	
1.98	0.016785	0.031128	0.014954	0.021667	0.028687	0.023193	0.020142	0.021973	
1.99	0.018616	0.031128	0.021057	0.021667	0.030518	0.025635	0.018311	0.021057	
2.00	0.020752	0.027466	0.017395	0.025940	0.024109	0.026245	0.018921	0.018616	
2.01	0.014343	0.033264	0.017090	0.024414	0.030518	0.028076	0.018921	0.018921	
2.02	0.015259	0.030518	0.019836	0.021973	0.028687	0.025940	0.017090	0.018311	
2.03	0.018311	0.029297	0.019531	0.027771	0.031128	0.024414	0.018311	0.018616	
2.04	0.017700	0.031128	0.020142	0.022278	0.032654	0.025940	0.016174	0.018616	
2.05	0.020447	0.030212	0.020142	0.023804	0.025940	0.026855	0.018616	0.017090	
2.06	0.015564	0.030212	0.021973	0.024109	0.024719	0.026550	0.016785	0.018311	
2.07	0.018616	0.030518	0.018921	0.022888	0.027466	0.025330	0.015869	0.019226	
2.08	0.018005	0.030212	0.019836	0.025635	0.025024	0.025024	0.017700	0.017700	
2.09	0.018311	0.028992	0.019836	0.021973	0.025940	0.026855	0.019836	0.018921	
2.10	0.018311	0.031128	0.019531	0.025330	0.029602	0.024414	0.020142	0.019531	
2.11	0.018311	0.026245	0.018311	0.026550	0.026855	0.025940	0.021973	0.018616	
2.12	0.016479	0.031128	0.017090	0.025024	0.031738	0.026550	0.019531	0.018005	
2.13	0.016785	0.031433	0.018921	0.025024	0.028687	0.027161	0.020142	0.020142	
2.14	0.018311	0.034790	0.023499	0.020752	0.027161	0.029602	0.016479	0.017700	
2.15	0.020752	0.028687	0.018311	0.023499	0.029602	0.025024	0.022888	0.021362	
2.16	0.017090	0.033264	0.016785	0.022888	0.029907	0.025024	0.018311	0.017090	
2.17	0.014648	0.032349	0.021057	0.022888	0.028687	0.025330	0.016479	0.020142	
2.18	0.017090	0.034180	0.020447	0.023804	0.025635	0.027161	0.020447	0.016479	
2.19	0.017700	0.031433	0.019531	0.022278	0.030823	0.025940	0.019531	0.022583	
2.20	0.021362	0.028076	0.017700	0.022583	0.028992	0.028381	0.016479	0.017090	
2.21	0.018921	0.029602	0.018921	0.023499	0.030823	0.027466	0.019226	0.018616	
2.22	0.017700	0.028687	0.017395	0.025024	0.028381	0.026855	0.018921	0.019226	
2.23	0.017395	0.028992	0.018005	0.022278	0.028381	0.025024	0.017700	0.020447	
2.24	0.016785	0.028992	0.020752	0.025635	0.029602	0.025635	0.018616	0.018921	
2.25	0.015869	0.033875	0.018005	0.027466	0.026855	0.026245	0.020142	0.021973	
2.26	0.017090	0.031738	0.017090	0.024109	0.027466	0.031433	0.020142	0.019531	
2.27	0.017395	0.029907	0.016785	0.024414	0.027771	0.027161	0.022278	0.018311	
2.28	0.020752	0.028992	0.012207	0.024414	0.028381	0.026245	0.018616	0.018921	
2.29	0.017090	0.031433	0.024719	0.026855	0.027466	0.028992	0.018616	0.020752	
2.30	0.018616	0.033569	0.016174	0.022888	0.025940	0.024719	0.021973	0.020447	
2.31	0.017700	0.030518	0.018005	0.023193	0.027771	0.027161	0.021057	0.019531	
2.32	0.013733	0.033264	0.020142	0.026855	0.028381	0.026550	0.019836	0.018921	
2.33	0.019836	0.031738	0.019531	0.023804	0.026855	0.025024	0.021362	0.016479	
2.34	0.017395	0.033569	0.018921	0.023193	0.028687	0.025940	0.019226	0.018311	
2.35	0.015259	0.026855	0.020752	0.021362	0.030518	0.025940	0.019531	0.018921	
2.36	0.020142	0.026855	0.019836	0.022888	0.026245	0.024109	0.021057	0.015869	
2.37	0.015869	0.030518	0.018005	0.020447	0.029907	0.028992	0.019836	0.021667	
2.38	0.013428	0.029602	0.019226	0.026245	0.028076	0.025635	0.021362	0.017090	
2.39	0.020447	0.032654	0.020142	0.023193	0.027466	0.027466	0.018005	0.020142	
2.40	0.019531	0.028687	0.018311	0.024719	0.028687	0.026550	0.018311	0.018005	
2.41	0.017090	0.028992	0.020142	0.021667	0.025635	0.027466	0.018616	0.017395	
2.42	0.016785	0.030518	0.016785	0.019836	0.032349	0.025940	0.021362	0.022583	
2.43	0.018005	0.029907	0.020447	0.023193	0.029907	0.025940	0.018616	0.017090	
2.44	0.022278	0.029602	0.023499	0.020447	0.028076	0.031128	0.020142	0.019836	
2.45	0.020752	0.031128	0.012512	0.025024	0.026550	0.025635	0.020447	0.018005	
2.46	0.014648	0.028076	0.020447	0.025635	0.026550	0.025330	0.017395	0.017395	
2.47	0.017090	0.032654	0.018311	0.023499	0.027771	0.026245	0.018005	0.019226	
2.48	0.018311	0.029297	0.021057	0.024109	0.026855	0.027771	0.020752	0.020752	
2.49	0.015869	0.028076	0.020142	0.023499	0.027771	0.027161	0.018921	0.019226	
2.50	0.020447	0.031128	0.017700	0.028076	0.028381	0.025635	0.018311	0.017700	
2.51	0.017700	0.032349	0.019836	0.026245	0.033569	0.024719	0.018921	0.018921	
2.52	0.016174	0.030823	0.022888	0.025330	0.030823	0.024414	0.021057	0.023804	
2.53	0.018921	0.033264	0.018616	0.022583	0.026550	0.027161	0.019226	0.019226	
2.54	0.016479	0.028992	0.015869	0.023804	0.025940	0.025940	0.022888	0.018311	
2.55	0.015869	0.030212	0.021362	0.021667	0.032349	0.025635	0.019226	0.020447	
2.56	0.014954	0.026855	0.021973	0.023193	0.026855	0.027161	0.018311	0.016479	
2.57	0.017090	0.028076	0.014954	0.022888	0.028076	0.025024	0.019836	0.018005	
2.58	0.017395	0.031433	0.019226	0.027466	0.031738	0.025940	0.021362	0.018921	
2.59	0.015869	0.029297	0.023804	0.023193	0.024719	0.027466	0.016174	0.016174	
2.60	0.020447	0.031128	0.018616	0.023193	0.028687	0.023804	0.020447	0.020142	
2.61	0.015564	0.028076	0.018311	0.024109	0.027161	0.027771	0.017395	0.018921	
2.62	0.016479	0.029297	0.018311	0.023804	0.027466	0.026550	0.017090	0.018311	
2.63	0.018921	0.030212	0.018005	0.026245	0.025940	0.026245	0.020142	0.020142	
2.64	0.017395	0.030518	0.019836	0.023804	0.025024	0.026245	0.017090	0.018616	
2.65	0.017090	0.032349	0.017090	0.023499	0.028076	0.029602	0.020142	0.015259	
2.66	0.017395	0.029297	0.020142	0.021973	0.029297	0.024414	0.018005	0.018921	
2.67	0.017090	0.029907	0.018311	0.021057	0.029907	0.025635	0.020447	0.023499	
2.68	0.015259	0.029297	0.018005	0.022278	0.027161	0.025940	0.020752	0.018616	
2.69	0.016479	0.030212	0.018311	0.024414	0.027771	0.024414	0.020142	0.020447	
2.70	0.018005	0.030518	0.015869	0.025635	0.029602	0.028076	0.018616	0.017700	
2.71	0.020142	0.028381	0.023804	0.021362	0.028992	0.029297	0.021057	0.017700	
2.72	0.016479	0.029297	0.020142	0.024719	0.028992	0.024414	0.019531	0.018005	
2.73	0.018005	0.031738	0.020142	0.022278	0.028687	0.024109	0.016479	0.018921	
2.74	0.019836	0.031738	0.021973	0.022583	0.026245	0.028076	0.019836	0.016174	
2.75	0.021973	0.032959	0.018311	0.024414	0.028992	0.026550	0.018311	0.021362	
2.76	0.021057	0.026245	0.019531	0.019531	0.028687	0.026550	0.021973	0.020142	
2.77	0.017395	0.031128	0.021667	0.024109	0.028687	0.025024	0.020142	0.018005	
2.78	0.018005	0.028381	0.022583	0.024719	0.028992	0.023499	0.017090	0.020447	
2.79	0.015259	0.030823	0.021362	0.023193	0.029907	0.025330	0.018005	0.018311	
2.80	0.017700	0.028992	0.018921	0.025940	0.028076	0.027161	0.019226	0.018311	
2.81	0.015869	0.031128	0.020142	0.025635	0.028076	0.024414	0.017090	0.014648	
2.82	0.016479	0.028381	0.018311	0.024719	0.030518	0.025330	0.015564	0.016479	
2.83	0.017700	0.030518	0.021667	0.023804	0.025330	0.026550	0.024719	0.018616	
2.84	0.015259	0.030823	0.018005	0.024414	0.027771	0.028687	0.019226	0.020142	
2.85	0.018311	0.028687	0.020142	0.023193	0.028076	0.028381	0.020142	0.019531	
2.86	0.017700	0.026550	0.019836	0.021667	0.028076	0.033569	0.018921	0.018311	
2.87	0.016174	0.029602	0.018005	0.026245	0.028381	0.026245	0.019531	0.018616	
2.88	0.019226	0.030212	0.022278	0.020752	0.027466	0.024719	0.018921	0.019226	
2.89	0.018616	0.029602	0.020447	0.023193	0.025635	0.026245	0.021362	0.016785	
2.90	0.016785	0.029297	0.016785	0.026855	0.027466	0.025024	0.022278	0.018311	
2.91	0.016174	0.030823	0.021362	0.022888	0.028992	0.025330	0.018311	0.019531	
2.92	0.014648	0.030212	0.020142	0.021973	0.027161	0.026245	0.018311	0.020447	
2.93	0.018616	0.029602	0.016785	0.026550	0.028076	0.024414	0.021973	0.018616	
2.94	0.014648	0.032349	0.021667	0.021667	0.029297	0.025940	0.016479	0.019836	
2.95	0.017700	0.029907	0.019531	0.025635	0.024414	0.024109	0.019226	0.018005	
2.96	0.017700	0.034790	0.015259	0.023804	0.029602	0.025024	0.019226	0.019836	
2.97	0.016174	0.029907	0.020447	0.021973	0.030823	0.025940	0.019226	0.018616	
2.98	0.015259	0.030823	0.018921	0.028076	0.024414	0.025635	0.021667	0.018311	
2.99	0.018921	0.031738	0.018616	0.022583	0.028687	0.024414	0.020752	0.021057	
